Title;DOI
Assessing the Supply-Demand Matching and Spatial Flow of Urban Cultural Ecosystem Services: Based on Geospatial Data and User Interaction Data;10.3390/land14040773
Mapping multiple stakeholder-perceived cultural ecosystem services in coastal landscapes along the Maritime Silk Road;10.1080/01426397.2025.2501233
Revealing youth-perceived cultural ecosystem services for high-density urban green space management: a deep learning spatial analysis of social media photographs from central Beijing;10.1007/s10980-025-02115-y
Spatial patterns and interactions among multiple cultural ecosystem services across urban greenspaces;10.1016/j.ecoser.2025.101740
Aesthetic appreciation of the cultural landscape through social media: An analysis of revealed preference in the Dutch river landscape;10.1016/j.landurbplan.2018.05.002
Continental-scale quantification of landscape values using social media data;10.1073/pnas.1614158113
Recreational visits to urban parks and factors affecting park visits: Evidence from geotagged social media data;10.1016/j.landurbplan.2018.08.004
Seasonal variation of cultural ecosystem services in urban blue-green spaces based on the SoLVES model and social media data;10.1016/j.ecolind.2025.114393
Spatial assessment of tourists' demand for cultural ecosystem services in the Kalajun World Natural Heritage Site, China;10.1016/j.jort.2025.100972
Modelling cultural ecosystem services of river landscapes in the Iberian Peninsula with deep learning and social media images;10.1016/j.jenvman.2025.127667
